"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"L3","BLM18KG601SN1D","1580mil","2105mil","1580mil","2105mil","1552.5mil","2105mil","T","360.00","Ferrite Bead"
"C30","SMD_Capacitor_0603","2035mil","1650mil","2035mil","1650mil","2062.5mil","1650mil","T","360.00","10uF"
"C29","SMD_Capacitor_0603","1805mil","1405mil","1805mil","1405mil","1805mil","1377.5mil","T","270.00","0.01uF"
"C28","SMD_Capacitor_0603","1430mil","1640mil","1430mil","1640mil","1430mil","1667.5mil","T","90.00","0.01uF"
"C25","SMD_Capacitor_0603","2035mil","1560mil","2035mil","1560mil","2062.5mil","1560mil","T","360.00","0.01uF"
"C24","SMD_Capacitor_0603","1475mil","1640mil","1475mil","1640mil","1475mil","1667.5mil","T","90.00",".1uF"
"C23","SMD_Capacitor_0603","1520mil","1640mil","1520mil","1640mil","1520mil","1667.5mil","T","90.00","4.7uF"
"C22","SMD_CAP_0402","1745mil","1850mil","1745mil","1850mil","1745mil","1867.717mil","T","90.00","0.047uF"
"C21","SMD_CAP_0402","1800mil","1870mil","1800mil","1870mil","1800mil","1887.717mil","T","90.00","0.1uF"
"C20","SMD_Capacitor_0603","1460mil","1795mil","1460mil","1795mil","1432.5mil","1795mil","T","180.00",".1uF"
"C19","SMD_Capacitor_0603","1460mil","1840mil","1460mil","1840mil","1432.5mil","1840mil","T","180.00","0.01uF"
"C18","SMD_Capacitor_0603","2035mil","1740mil","2035mil","1740mil","2062.5mil","1740mil","T","360.00","22uF"
"C17","SMD_Capacitor_0603","2035mil","1785mil","2035mil","1785mil","2062.5mil","1785mil","T","360.00",".1uF"
"C16","SMD_Capacitor_0603","2035mil","1695mil","2035mil","1695mil","2062.5mil","1695mil","T","360.00","0.01uF"
"C15","SMD_Capacitor_0603","1910mil","1830mil","1910mil","1830mil","1882.5mil","1830mil","T","180.00",".1uF"
"C14","SMD_Capacitor_0603","1910mil","1875mil","1910mil","1875mil","1882.5mil","1875mil","T","180.00","0.01uF"
"C13","SMD_Capacitor_0603","1910mil","2020mil","1910mil","2020mil","1937.5mil","2020mil","T","360.00","22uF"
"C12","SMD_Capacitor_0603","1910mil","1975mil","1910mil","1975mil","1937.5mil","1975mil","T","360.00",".1uF"
"C11","SMD_Capacitor_0603","1910mil","1930mil","1910mil","1930mil","1937.5mil","1930mil","T","360.00","0.01uF"
"C10","SMD_Capacitor_0603","1580mil","2060mil","1580mil","2060mil","1552.5mil","2060mil","T","180.00","4.7uF"
"C9","SMD_Capacitor_0603","1580mil","2010mil","1580mil","2010mil","1552.5mil","2010mil","T","180.00",".1uF"
